"exp","mod","out","Estimate","score.value","p.value","coef","sig"
"Study 4a","Teleology","Identification",-4.08522870554372,-11.2662263783246,1.92650884724952e-29,"Condition[mirror]","***"
"Study 4a","Teleology","Identification",-0.808365352430096,-7.59463960100579,3.08650245660928e-14,"Teleology","***"
"Study 4a","Teleology","Identification",0.71074212372317,6.16545929272874,7.02788486009648e-10,"Interaction","***"
"Study 4b","Teleology","Identification",-3.45015371955624,-10.1622633278183,2.92212894997535e-24,"Condition[mirror]","***"
"Study 4b","Teleology","Identification",-0.269879175613962,-2.39139573156189,0.0167844507174325,"Teleology","*"
"Study 4b","Teleology","Identification",0.335379321819583,2.92186137360657,0.00347946369596878,"Interaction","**"
"Studies 3 and 4","Teleology","Identification",-3.887273103051,-13.1911210498182,9.87063823892235e-40,"Condition[mirror]","***"
"Studies 3 and 4","Teleology","Identification",-0.602791221164746,-7.52496546838032,5.27342594859192e-14,"Teleology","***"
"Studies 3 and 4","Teleology","Identification",0.569001786025086,6.83949206421094,7.9474460959665e-12,"Interaction","***"
"Study 3","Paranoia","Confidence",-1.26409453499994,-25.1186764227063,1.25676335363193e-63,"Condition[mirror]","***"
"Study 3","Paranoia","Confidence",0.075143720871197,0.546757441223499,0.585157938567095,"Paranoia",""
"Study 3","Paranoia","Confidence",0.214719535000005,1.70243917205009,0.0902345269840907,"Interaction",""
"Study 4a","Paranoia","Confidence",-1.13940327828782,-15.5263646206557,2.24078963015972e-28,"Condition[mirror]","***"
"Study 4a","Paranoia","Confidence",0.460707179464451,3.07692359329833,0.00269835942785919,"Paranoia","**"
"Study 4a","Paranoia","Confidence",0.854949496775247,6.72438397639983,1.10903079072071e-09,"Interaction","***"
"Study 4b","Paranoia","Confidence",-1.40888030888068,-17.0210257113383,4.05838999591944e-29,"Condition[mirror]","***"
"Study 4b","Paranoia","Confidence",0.68222453222426,2.99769742489403,0.00356607464346348,"Paranoia","**"
"Study 4b","Paranoia","Confidence",0.712177012177427,3.3259187049713,0.00130282569016772,"Interaction","**"
"Studies 3 and 4","Paranoia","Confidence",-1.27412516969427,-8.35019668510535,0.0679446773369224,"Condition[mirror]",""
"Studies 3 and 4","Paranoia","Confidence",0.527968179435643,4.25141675611462,3.34609552373899e-05,"Paranoia","***"
"Studies 3 and 4","Paranoia","Confidence",0.815232452554879,7.25540528453945,1.03337735351653e-11,"Interaction","***"
"Study 3","Teleology","Confidence",-1.59047930895373,-8.81163238699083,6.44326021232723e-16,"Condition[mirror]","***"
"Study 3","Teleology","Confidence",0.0702972981388501,1.01057848816128,0.313457800482031,"Teleology",""
"Study 3","Teleology","Confidence",0.133630725021333,2.08922432019073,0.0379718998010043,"Interaction","*"
"Study 4a","Teleology","Confidence",-2.37816827842648,-11.7891085082006,1.21892479255837e-20,"Condition[mirror]","***"
"Study 4a","Teleology","Confidence",0.137333990979512,1.67756594017387,0.0965557288483718,"Teleology",""
"Study 4a","Teleology","Confidence",0.502197173158774,7.87096904800099,4.27363892381502e-12,"Interaction","***"
"Study 4b","Teleology","Confidence",-2.42425970937581,-8.46063897679014,6.66641145543974e-13,"Condition[mirror]","***"
"Study 4b","Teleology","Confidence",0.192779827573429,1.75883552840583,0.0822043894253088,"Teleology",""
"Study 4b","Teleology","Confidence",0.393864371285231,4.05367514866345,0.000111213697994025,"Interaction","***"
"Studies 3 and 4","Teleology","Confidence",-2.43618621377687,-10.0324733503803,0.00157443354005818,"Condition[mirror]","**"
"Studies 3 and 4","Teleology","Confidence",0.158038902596442,2.41849007414146,0.0165417963908214,"Teleology","*"
"Studies 3 and 4","Teleology","Confidence",0.461954274274326,8.40370297113691,1.0913705702401e-14,"Interaction","***"
