"exp1_2_parameters","means","estimate","sig","Std_Coefficient","Std_Coefficient_CI_low","Std_Coefficient_CI_high"
"hit_rate",1.66023786005853e-16,1.3171,0.4552,0.1441,-0.2264,0.5331
"fa_rate",7.92028220371131e-17,4.7067,9e-04,0.6049,0.2515,0.9749
"sensitivity",-1.50298974080371e-17,-1.0207,0.0146,-0.5078,-0.93,-0.1127
"response_criterion",5.46549095155513e-17,-1.7697,0.006,-0.5446,-0.9473,-0.1644
"correct",5.68516815006977e-16,-6.3858,0.0134,-0.4726,-0.8556,-0.1025
"detection",2.71082049851175e-16,5.6447,0.0053,0.5297,0.1631,0.9134
"reaction_time",4.97457845538225e-16,1e-04,0.8095,0.0459,-0.3177,0.4321
"confidence_M",-1.94814486941243e-16,-0.3375,0.2799,-0.2466,-0.7024,0.2031
"confidence_C",1.31404827777975e-16,-0.7299,0.0331,-0.4842,-0.9539,-0.0466
