"experiment","version","interview_date","task","PROLIFIC_PID","workerId","identifier","first","trial_num","time_elapsed","reaction_time","trial_id","condition","choice","correct","confidence","cells","selected"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",1,188552,1717,25,"chase","dist",0,3,"Ms","dist3"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",2,196505,1958,9,"mirror","dist",0,3,"CR","dist4"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",3,205879,3271,33,"mirror","dist",0,2,"CR","dist1"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",4,214082,2275,129,"mirror","dist",0,3,"CR","dist1"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",5,221988,1652,7,"chase","dist",0,5,"Ms","dist4"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",6,229568,1529,19,"mirror","dist",0,5,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",7,236785,1325,82,"chase","sheep",0,2,"Ms","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",8,244614,1886,142,"mirror","dist",0,3,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",9,251521,997,13,"mirror","dist",0,3,"CR","dist4"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",10,259973,1825,32,"mirror","dist",0,2,"CR","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",11,267328,1440,6,"mirror","sheep",0,3,"CR","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",12,277342,3784,98,"mirror","sheep",0,2,"CR","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",13,285320,2075,146,"mirror","sheep",0,2,"CR","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",14,293804,2729,125,"chase","dist",0,3,"Ms","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",15,302064,2300,3,"mirror","dist",0,2,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",16,309781,2008,90,"mirror","wolf",1,2,"FA","wolf"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",17,318464,1592,197,"chase","dist",0,2,"Ms","dist3"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",18,325491,1062,203,"mirror","wolf",1,3,"FA","wolf"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",19,334105,2141,223,"mirror","dist",0,5,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",20,341624,1495,209,"mirror","dist",0,2,"CR","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",21,362494,14424,123,"mirror","sheep",0,2,"CR","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",22,369586,1140,220,"mirror","dist",0,5,"CR","dist5"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",23,384465,8572,168,"chase","sheep",0,3,"Ms","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",24,392228,1794,178,"chase","sheep",0,2,"Ms","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",25,399817,1562,227,"mirror","dist",0,2,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",26,414573,8692,38,"chase","sheep",0,3,"Ms","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",27,421756,1361,4,"mirror","dist",0,3,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",28,429011,1225,24,"chase","wolf",1,2,"Hit","wolf"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",29,437524,2437,30,"chase","dist",0,4,"Ms","dist3"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",30,445292,2107,190,"chase","dist",0,3,"Ms","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",31,454574,3406,78,"chase","dist",0,3,"Ms","dist3"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",32,466368,5338,2,"chase","dist",0,3,"Ms","dist1"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",33,474298,1910,198,"mirror","dist",0,2,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",34,485021,4069,126,"mirror","wolf",1,3,"FA","wolf"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",35,496968,6257,228,"chase","dist",0,5,"Ms","dist4"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",36,505592,2759,18,"chase","dist",0,4,"Ms","dist5"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",37,514532,2900,101,"chase","dist",0,5,"Ms","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",38,1100899,578763,218,"mirror","dist",0,4,"CR","dist5"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",39,1110748,3888,135,"chase","dist",0,3,"Ms","dist5"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",40,1117532,964,234,"mirror","dist",0,1,"CR","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",41,1124703,1424,10,"chase","dist",0,4,"Ms","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",42,1131864,1659,143,"chase","dist",0,2,"Ms","dist4"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",43,1141377,3061,133,"chase","sheep",0,5,"Ms","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",44,1149130,1193,282,"mirror","dist",0,3,"CR","dist3"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",45,1156461,1628,134,"mirror","dist",0,1,"CR","dist2"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",46,1163883,1556,229,"mirror","dist",0,4,"CR","dist4"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",47,1171532,1762,179,"mirror","sheep",0,2,"CR","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",48,1180310,2139,11,"chase","dist",0,5,"Ms","dist5"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",49,1189657,2975,162,"mirror","dist",0,3,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",50,1196845,1309,149,"mirror","dist",0,1,"CR","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",51,1205297,2236,240,"chase","sheep",0,3,"Ms","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",52,1215027,2861,8,"mirror","wolf",1,1,"FA","wolf"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",53,1224091,2975,192,"chase","dist",0,4,"Ms","dist6"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",54,1232281,2209,166,"chase","sheep",0,2,"Ms","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",55,1240583,2044,29,"mirror","sheep",0,5,"CR","sheep"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",56,1248300,1764,264,"chase","dist",0,2,"Ms","dist5"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",57,1255990,1753,177,"mirror","dist",0,2,"CR","dist3"
4,"sheep-and-wolf","10/17/2023","wolf",NA,"A106QH27FETZ88","A106QH27FETZ88_wolf","wolf",58,1263316,1420,12,"mirror","dist",0,3,"CR","dist2"
